CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12405,149,1,1710.39,2,1,4,214,Others
12406,22,2,3415.3,4,3,5,435,Potential Loyalists
12407,50,5,1708.12,3,4,4,344,Loyal Customers
12408,33,5,2888.55,4,4,4,444,Champions
12409,79,3,11072.67,3,4,5,345,Loyal Customers
12410,309,2,693.33,1,3,3,133,At Risk
12412,75,3,1226.88,3,4,4,344,Loyal Customers
12413,67,3,758.1,3,4,3,343,Loyal Customers
12414,217,3,562.4100000000001,1,4,3,143,At Risk
12415,24,21,124914.53,4,5,5,455,Champions
12417,3,9,3649.1,5,5,5,555,Champions
12418,113,1,668.58,2,1,3,213,Others
12420,64,1,600.39,3,1,3,313,Others
12421,16,4,807.04,4,4,3,443,Loyal Customers
12422,96,3,803.5600000000001,2,4,3,243,At Risk
12423,1,8,1859.31,5,5,4,554,Champions
12424,163,2,1760.96,2,3,4,234,At Risk
12425,78,1,777.2,3,1,3,313,Others
12426,195,1,582.73,1,1,3,113,Others
12427,22,3,825.8000000000001,4,4,3,443,Loyal Customers
12428,26,9,7956.46,4,5,5,455,Champions
12429,9,4,3750.4,5,4,5,545,Champions
12430,43,1,256.4,3,1,2,312,Others
12431,36,15,6487.45,3,5,5,355,Loyal Customers
12432,43,5,5059.32,3,4,5,345,Loyal Customers
12433,1,7,13375.87,5,5,5,555,Champions
12434,85,2,806.14,3,3,3,333,Others
12435,80,2,7829.89,3,3,5,335,Others
12436,100,1,509.01,2,1,3,213,Others
12437,2,18,4951.41,5,5,5,555,Champions
12438,14,2,2906.85,5,3,4,534,Potential Loyalists
12441,367,1,173.55,1,1,2,112,Hibernating
12442,3,1,172.06,5,1,2,512,Others
12444,21,5,5005.46,4,4,5,445,Champions
12445,22,1,133.4,4,1,1,411,Others
12446,58,1,1002.31,3,1,3,313,Others
12447,243,1,476.49,1,1,3,113,Others
12448,44,1,449.45,3,1,3,313,Others
12449,22,4,4067.29,4,4,5,445,Champions
12450,156,2,197.88,2,3,2,232,Others
12451,11,5,9035.52,5,4,5,545,Champions
12452,17,2,430.5700000000001,4,3,3,433,Potential Loyalists
12453,134,1,707.09,2,1,3,213,Others
12454,56,1,3528.34,3,1,5,315,Others
12455,73,6,2466.86,3,4,4,344,Loyal Customers
12456,44,3,3181.04,3,4,5,345,Loyal Customers
12457,66,7,2363.23,3,5,4,354,Loyal Customers
12458,71,2,947.4,3,3,3,333,Others
12461,94,2,826.88,2,3,3,233,At Risk
12462,19,2,1189.59,4,3,4,434,Potential Loyalists
12463,53,4,1344.78,3,4,4,344,Loyal Customers
12464,10,8,1212.05,5,5,4,554,Champions
12465,17,2,742.19,4,3,3,433,Potential Loyalists
12468,188,2,729.54,1,3,3,133,At Risk
12471,2,30,19824.05,5,5,5,555,Champions
12472,32,7,6572.11,4,5,5,455,Champions
12473,29,5,3938.55,4,4,5,445,Champions
12474,17,18,7375.79,4,5,5,455,Champions
12475,54,1,723.38,3,1,3,313,Others
12476,16,11,6816.42,4,5,5,455,Champions
12477,23,6,13219.74,4,4,5,445,Champions
12478,4,1,680.99,5,1,3,513,Others
12479,11,1,527.2,5,1,3,513,Others
12480,28,4,3281.63,4,4,5,445,Champions
12481,23,10,5596.32,4,5,5,455,Champions
12483,17,8,2484.98,4,5,4,454,Champions
12484,33,6,4541.72,4,4,5,445,Champions
12488,10,3,1298.66,5,4,4,544,Champions
12489,336,1,334.93,1,1,2,112,Hibernating
12490,5,10,5417.93,5,5,5,555,Champions
12491,39,1,460.4,3,1,3,313,Others
12492,63,2,263.21000000000004,3,3,2,332,Others
12493,166,2,433.74,2,3,3,233,At Risk
12494,16,7,1246.1,4,5,4,454,Champions
12497,82,1,1043.1,3,1,3,313,Others
12498,21,3,403.7000000000001,4,4,3,443,Loyal Customers
12500,23,11,4257.82,4,5,5,455,Champions
12501,337,1,2169.39,1,1,4,114,Others
12502,96,5,3723.87,2,4,5,245,At Risk
12504,18,2,482.05,4,3,3,433,Potential Loyalists
12506,233,1,73.5,1,1,1,111,Hibernating
12507,134,3,1304.81,2,4,4,244,At Risk
12508,26,2,398.27,4,3,3,433,Potential Loyalists
12509,284,1,176.5,1,1,2,112,Hibernating
12510,143,2,982.57,2,3,3,233,At Risk
12512,66,2,138.03,3,3,1,331,Others
12513,113,1,612.29,2,1,3,213,Others
12514,267,1,1017.68,1,1,3,113,Others
12515,353,1,383.7,1,1,3,113,Others
12516,78,2,1312.06,3,3,4,334,Others
12517,28,5,2502.84,4,4,4,444,Champions
12518,1,5,2056.89,5,4,4,544,Champions
12519,64,1,340.84000000000003,3,1,2,312,Others
12520,79,5,2634.26,3,4,4,344,Loyal Customers
12521,143,1,599.68,2,1,3,213,Others
12522,39,2,192.72,3,3,2,332,Others
12523,19,11,1789.77,4,5,4,454,Champions
12524,9,8,4485.72,5,5,5,555,Champions
12526,1,3,1316.66,5,4,4,544,Champions
12527,82,3,348.71000000000004,3,4,2,342,Others
12528,9,6,1933.48,5,4,4,544,Champions
12530,60,4,1662.28,3,4,4,344,Loyal Customers
12531,15,1,125.22,4,1,1,411,Others
12532,30,1,349.83000000000004,4,1,2,412,Others
12534,131,1,1089.18,2,1,3,213,Others
12535,92,2,716.35,2,3,3,233,At Risk
12536,43,3,12601.830000000002,3,4,5,345,Loyal Customers
12538,29,1,363.95,4,1,3,413,Others
12539,22,4,5568.35,4,4,5,445,Champions
12540,20,17,13400.24,4,5,5,455,Champions
12541,30,3,981.18,4,4,3,443,Loyal Customers
12544,36,1,372.7,3,1,3,313,Others
12545,75,2,1000.39,3,3,3,333,Others
12546,47,2,1161.5,3,3,4,334,Others
12547,198,2,207.8,1,3,2,132,Others
12548,166,1,95.2,2,1,1,211,Hibernating
12550,79,1,964.83,3,1,3,313,Others
12551,358,1,168.0,1,1,2,112,Hibernating
12552,39,2,437.82,3,3,3,333,Others
12553,8,10,3692.28,5,5,5,555,Champions
12556,50,2,603.71,3,3,3,333,Others
12557,16,5,11990.96,4,4,5,445,Champions
12558,8,1,269.96,5,1,2,512,Others
12559,311,2,561.71,1,3,3,133,At Risk
12560,5,3,2134.01,5,4,4,544,Champions
12561,303,1,238.85,1,1,2,112,Hibernating
12562,8,7,3781.74,5,5,5,555,Champions
12564,261,1,456.9,1,1,3,113,Others
12565,289,1,145.92000000000002,1,1,1,111,Hibernating
12566,86,1,351.65,2,1,2,212,Hibernating
12567,23,10,9401.28,4,5,5,455,Champions
12569,2,32,4124.6900000000005,5,5,5,555,Champions
12571,40,2,519.61,3,3,3,333,Others
12572,9,2,1020.42,5,3,3,533,Potential Loyalists
12573,227,1,160.54000000000002,1,1,2,112,Hibernating
12574,316,1,218.45,1,1,2,112,Hibernating
12576,36,5,1315.83,3,4,4,344,Loyal Customers
12577,35,3,657.8,3,4,3,343,Loyal Customers
12578,21,2,2794.51,4,3,4,434,Potential Loyalists
12579,78,1,440.42,3,1,3,313,Others
12580,247,1,415.7,1,1,3,113,Others
12581,40,1,197.71,3,1,2,312,Others
12582,239,2,511.36,1,3,3,133,At Risk
12583,3,15,7281.38,5,5,5,555,Champions
12584,4,9,2338.15,5,5,4,554,Champions
12585,234,2,2040.1,1,3,4,134,At Risk
12586,17,1,196.94000000000003,4,1,2,412,Others
12587,8,1,144.0,5,1,1,511,Others
12588,39,1,214.9,3,1,2,312,Others
12589,29,2,646.68,4,3,3,433,Potential Loyalists
12590,211,2,9864.26,1,3,5,135,At Risk
12591,317,1,452.85,1,1,3,113,Others
12592,92,2,437.6,2,3,3,233,At Risk
12593,109,3,418.1,2,4,3,243,At Risk
12594,38,10,3338.2200000000003,3,5,5,355,Loyal Customers
12596,51,2,618.27,3,3,3,333,Others
12597,19,4,3811.22,4,4,5,445,Champions
12598,10,8,3023.08,5,5,5,555,Champions
12599,29,7,1032.58,4,5,3,453,Loyal Customers
12600,29,10,2599.04,4,5,4,454,Champions
12601,190,5,577.0600000000001,1,4,3,143,At Risk
12602,59,1,153.12,3,1,2,312,Others
12603,22,1,739.1999999999999,4,1,3,413,Others
12604,79,2,254.18,3,3,2,332,Others
12607,60,1,1579.51,3,1,4,314,Others
12609,78,3,1126.85,3,4,4,344,Loyal Customers
12610,23,5,2099.54,4,4,4,444,Champions
12611,52,1,1193.32,3,1,4,314,Others
12612,74,1,704.04,3,1,3,313,Others
12613,57,5,3344.38,3,4,5,345,Loyal Customers
12614,278,1,315.6,1,1,2,112,Hibernating
12615,2,4,2291.19,5,4,4,544,Champions
12616,95,2,713.3,2,3,3,233,At Risk
12617,29,1,355.53000000000003,4,1,2,412,Others
12618,22,1,177.31,4,1,2,412,Others
12619,16,9,3641.24,4,5,5,455,Champions
12620,15,3,1339.41,4,4,4,444,Champions
12621,2,20,13689.67,5,5,5,555,Champions
12622,232,1,180.1,1,1,2,112,Hibernating
12623,276,1,305.1,1,1,2,112,Hibernating
12624,106,2,641.13,2,3,3,233,At Risk
12625,212,2,2683.82,1,3,4,134,At Risk
12626,23,9,6620.4800000000005,4,5,5,455,Champions
12627,11,7,4478.53,5,5,5,555,Champions
12628,4,3,786.46,5,4,3,543,Loyal Customers
12630,10,2,1270.88,5,3,4,534,Potential Loyalists
12631,57,1,640.5,3,1,3,313,Others
12633,59,4,2163.98,3,4,4,344,Loyal Customers
12635,90,2,1689.18,2,3,4,234,At Risk
12637,67,8,6021.9,3,5,5,355,Loyal Customers
12638,33,1,671.69,4,1,3,413,Others
12639,239,1,486.1,1,1,3,113,Others
12640,24,3,1174.58,4,4,4,444,Champions
12641,115,1,185.9,2,1,2,212,Hibernating
12642,25,3,1013.26,4,4,3,443,Loyal Customers
12643,128,6,3344.64,2,4,5,245,At Risk
12644,130,1,477.91,2,1,3,213,Others
12645,34,4,1775.18,3,4,4,344,Loyal Customers
12646,5,2,1346.97,5,3,4,534,Potential Loyalists
12647,22,12,3722.82,4,5,5,455,Champions
12648,155,1,318.05,2,1,2,212,Hibernating
12649,107,3,623.51,2,4,3,243,At Risk
12650,3,1,314.44,5,1,2,512,Others
12651,335,1,114.0,1,1,1,111,Hibernating
12652,331,1,919.98,1,1,3,113,Others
12653,149,2,2209.85,2,3,4,234,At Risk
12654,11,5,601.98,5,4,3,543,Loyal Customers
12656,17,5,4051.17,4,4,5,445,Champions
12657,11,4,1643.18,5,4,4,544,Champions
12658,19,1,686.05,4,1,3,413,Others
12659,30,1,91.68,4,1,1,411,Others
12660,11,1,245.1,5,1,2,512,Others
12662,1,11,3849.78,5,5,5,555,Champions
12664,8,9,4881.88,5,5,5,555,Champions
12665,325,1,63.0,1,1,1,111,Hibernating
12667,58,1,620.13,3,1,3,313,Others
12668,12,4,3807.15,5,4,5,545,Champions
12669,151,3,2744.03,2,4,4,244,At Risk
12670,10,5,2996.05,5,4,5,545,Champions
12672,330,1,225.9,1,1,2,112,Hibernating
12673,5,2,610.52,5,3,3,533,Potential Loyalists
12674,39,4,1970.6,3,4,4,344,Loyal Customers
12676,25,6,1331.39,4,4,4,444,Champions
12678,42,12,17628.46,3,5,5,355,Loyal Customers
12679,59,4,1113.02,3,4,4,344,Loyal Customers
12680,1,4,862.81,5,4,3,543,Loyal Customers
12681,15,22,13787.54,4,5,5,455,Champions
12682,4,31,12288.22,5,5,5,555,Champions
12683,4,15,8476.57,5,5,5,555,Champions
12684,8,7,2283.63,5,5,4,554,Champions
12685,28,6,2863.08,4,4,4,444,Champions
12686,372,1,89.14,1,1,1,111,Hibernating
12688,114,1,4873.81,2,1,5,215,Others
12689,26,2,1247.61,4,3,4,434,Potential Loyalists
12690,206,1,389.01,1,1,3,113,Others
12691,28,6,1035.8,4,4,3,443,Loyal Customers
12693,127,4,855.91,2,4,3,243,At Risk
12694,70,2,869.67,3,3,3,333,Others
12695,7,4,582.1,5,4,3,543,Loyal Customers
12697,29,3,957.59,4,4,3,443,Loyal Customers
12700,8,4,4939.99,5,4,5,545,Champions
12701,80,2,797.71,3,3,3,333,Others
12702,20,1,219.0,4,1,2,412,Others
12703,71,1,283.55,3,1,2,312,Others
12704,7,8,2340.84,5,5,4,554,Champions
12705,15,9,6868.29,4,5,5,455,Champions
12707,292,1,603.42,1,1,3,113,Others
12708,30,10,2712.91,4,5,4,454,Champions
12709,15,15,9736.52,4,5,5,455,Champions
12710,97,3,1149.02,2,4,4,244,At Risk
12712,29,13,4396.13,4,5,5,455,Champions
12713,1,1,848.55,5,1,3,513,Others
12714,9,5,4708.86,5,4,5,545,Champions
12715,106,1,353.86,2,1,2,212,Hibernating
12716,4,2,1053.49,5,3,3,533,Potential Loyalists
12717,151,2,1030.98,2,3,3,233,At Risk
12718,71,1,238.25,3,1,2,312,Others
12719,5,2,644.95,5,3,3,533,Potential Loyalists
12720,3,25,5781.7300000000005,5,5,5,555,Champions
12721,32,6,2656.13,4,4,4,444,Champions
12722,85,4,997.63,3,4,3,343,Loyal Customers
12723,4,5,725.07,5,4,3,543,Loyal Customers
12724,5,4,1031.41,5,4,3,543,Loyal Customers
12725,371,1,427.8,1,1,3,113,Others
12726,28,7,2609.1,4,5,4,454,Champions
12727,11,7,3980.7,5,5,5,555,Champions
12728,71,4,836.33,3,4,3,343,Loyal Customers
12729,114,1,453.01,2,1,3,213,Others
12731,24,12,18895.91,4,5,5,455,Champions
12732,180,1,236.26,1,1,2,112,Hibernating
12733,234,1,383.95,1,1,3,113,Others
12734,353,1,110.4,1,1,1,111,Hibernating
12735,315,2,779.5699999999999,1,3,3,133,At Risk
12736,333,1,234.0,1,1,2,112,Hibernating
12738,372,1,155.35,1,1,2,112,Hibernating
12739,78,2,1013.04,3,3,3,333,Others
12740,64,1,427.6,3,1,3,313,Others
12743,134,2,546.43,2,3,3,233,At Risk
12744,52,7,21279.29,3,5,5,355,Loyal Customers
12747,2,11,4196.01,5,5,5,555,Champions
12748,1,209,33719.73,5,5,5,555,Champions
12749,4,5,4090.88,5,4,5,545,Champions
12750,129,1,275.88,2,1,2,212,Hibernating
12752,81,1,4366.78,3,1,5,315,Others
12753,23,6,21429.39,4,4,5,445,Champions
12754,236,3,3010.74,1,4,5,145,At Risk
12755,281,2,3811.95,1,3,5,135,At Risk
12756,87,1,112.08,2,1,1,211,Hibernating
12757,16,13,7857.1,4,5,5,455,Champions
12758,117,2,2791.59,2,3,4,234,At Risk
12759,52,3,1531.44,3,4,4,344,Loyal Customers
12762,8,2,1898.52,5,3,4,534,Potential Loyalists
12763,138,2,494.08,2,3,3,233,At Risk
12764,317,1,1693.88,1,1,4,114,Others
12766,4,7,6989.63,5,5,5,555,Champions
12769,239,1,1143.6,1,1,4,114,Others
12770,211,1,1351.45,1,1,4,114,Others
12772,60,1,892.47,3,1,3,313,Others
12775,17,5,1386.04,4,4,4,444,Champions
12778,20,6,822.23,4,4,3,443,Loyal Customers
12779,38,8,3981.36,3,5,5,355,Loyal Customers
12781,64,2,826.74,3,3,3,333,Others
12782,5,5,2330.92,5,4,4,544,Champions
12783,2,6,2225.91,5,4,4,544,Champions
12784,9,2,574.42,5,3,3,533,Potential Loyalists
12785,364,1,311.95,1,1,2,112,Hibernating
12787,10,3,463.66,5,4,3,543,Loyal Customers
12789,65,1,91.85,3,1,1,311,Others
12790,192,1,324.92,1,1,2,112,Hibernating
12791,374,1,192.6,1,1,2,112,Hibernating
12792,257,1,400.54,1,1,3,113,Others
12793,335,2,545.48,1,3,3,133,At Risk
12794,53,2,860.41,3,3,3,333,Others
12795,19,1,430.48,4,1,3,413,Others
12797,366,1,254.03,1,1,2,112,Hibernating
12798,10,3,6977.04,5,4,5,545,Champions
12802,187,1,427.58,1,1,3,113,Others
12808,37,3,483.65,3,4,3,343,Loyal Customers
12809,178,1,489.31,1,1,3,113,Others
12811,261,3,514.85,1,4,3,143,At Risk
12812,45,1,229.64,3,1,2,312,Others
12814,102,1,125.92,2,1,1,211,Hibernating
12815,148,2,1063.46,2,3,3,233,At Risk
12816,96,2,572.2,2,3,3,233,At Risk
12817,281,1,166.04000000000002,1,1,2,112,Hibernating
12818,262,1,1542.08,1,1,4,114,Others
12820,3,4,942.34,5,4,3,543,Loyal Customers
12821,214,1,92.72,1,1,1,111,Hibernating
12822,71,2,948.88,3,3,3,333,Others
12823,75,5,1759.5,3,4,4,344,Loyal Customers
12824,60,1,397.12,3,1,3,313,Others
12826,3,7,1474.72,5,5,4,554,Champions
12827,6,3,430.15,5,4,3,543,Loyal Customers
12828,3,6,1018.71,5,4,3,543,Loyal Customers
12829,337,2,293.0,1,3,2,132,Others
12830,38,6,6814.64,3,4,5,345,Loyal Customers
12831,262,1,215.05,1,1,2,112,Hibernating
12832,32,2,383.03,4,3,3,433,Potential Loyalists
12833,145,1,417.38,2,1,3,213,Others
12834,283,1,312.38,1,1,2,112,Hibernating
12836,59,4,2612.86,3,4,4,344,Loyal Customers
12837,173,1,134.1,2,1,1,211,Hibernating
12838,34,2,683.13,3,3,3,333,Others
12839,3,14,5591.42,5,5,5,555,Champions
12840,144,4,2726.77,2,4,4,244,At Risk
12841,5,25,4022.35,5,5,5,555,Champions
12842,70,2,1118.99,3,3,4,334,Others
12843,66,8,1702.26,3,5,4,354,Loyal Customers
12844,29,2,325.96000000000004,4,3,2,432,Potential Loyalists
12845,267,4,354.09000000000003,1,4,2,142,Others
12847,22,1,871.54,4,1,3,413,Others
12849,31,2,1050.89,4,3,3,433,Potential Loyalists
12851,97,1,135.18,2,1,1,211,Hibernating
12852,295,1,311.55,1,1,2,112,Hibernating
12853,135,6,1957.1,2,4,4,244,At Risk
12854,79,3,1324.5,3,4,4,344,Loyal Customers
12855,373,1,38.1,1,1,1,111,Hibernating
12856,8,6,2179.93,5,4,4,544,Champions
12857,211,2,1106.4,1,3,3,133,At Risk
12863,52,1,521.2,3,1,3,313,Others
12864,138,1,147.12,2,1,1,211,Hibernating
12865,26,2,1568.23,4,3,4,434,Potential Loyalists
12866,283,1,559.12,1,1,3,113,Others
12867,26,7,4036.82,4,5,5,455,Champions
12868,186,6,1607.0600000000002,1,4,4,144,At Risk
12871,84,2,380.64,3,3,3,333,Others
12872,327,2,599.97,1,3,3,133,At Risk
12873,282,1,374.0,1,1,3,113,Others
12875,143,2,343.2300000000001,2,3,2,232,Others
12876,58,2,2218.02,3,3,4,334,Others
12877,4,12,1535.77,5,5,4,554,Champions
12878,236,2,854.99,1,3,3,133,At Risk
12879,45,3,573.22,3,4,3,343,Loyal Customers
12881,276,1,298.0,1,1,2,112,Hibernating
12882,9,2,1463.04,5,3,4,534,Potential Loyalists
12883,25,4,703.47,4,4,3,443,Loyal Customers
12884,88,1,309.05,2,1,2,212,Hibernating
12885,63,3,1175.22,3,4,4,344,Loyal Customers
12886,68,2,1378.4,3,3,4,334,Others
12888,214,2,354.12,1,3,2,132,Others
12890,24,1,380.47,4,1,3,413,Others
12891,186,3,331.0,1,4,2,142,Others
12893,31,1,188.14,4,1,2,412,Others
12895,42,2,372.8,3,3,3,333,Others
12897,205,2,216.5,1,3,2,132,Others
12901,9,28,17654.54,5,5,5,555,Champions
12902,265,1,138.68,1,1,1,111,Hibernating
12904,18,2,509.58,4,3,3,433,Potential Loyalists
12906,12,5,2919.81,5,4,4,544,Champions
12908,176,2,750.0,1,3,3,133,At Risk
12909,40,5,2178.67,3,4,4,344,Loyal Customers
12910,23,8,3075.04,4,5,5,455,Champions
12912,3,5,1662.3,5,4,4,544,Champions
12913,5,5,2483.63,5,4,4,544,Champions
12915,149,2,363.65,2,3,2,232,Others
12916,139,4,3006.15,2,4,5,245,At Risk
12917,128,1,594.0,2,1,3,213,Others
12919,8,6,1335.19,5,4,4,544,Champions
12920,17,1,164.23,4,1,2,412,Others
12921,9,37,16587.09,5,5,5,555,Champions
12922,161,1,405.38,2,1,3,213,Others
12923,64,1,176.97,3,1,2,312,Others
12924,88,4,933.7,2,4,3,243,At Risk
12925,5,2,694.05,5,3,3,533,Potential Loyalists
12928,35,5,2062.7,3,4,4,344,Loyal Customers
12929,312,1,117.85,1,1,1,111,Hibernating
12930,78,2,415.8,3,3,3,333,Others
12931,22,15,42055.96,4,5,5,455,Champions
12933,24,3,607.53,4,4,3,443,Loyal Customers
12935,2,7,2160.7,5,5,4,554,Champions
12936,17,4,1063.9,4,4,3,443,Loyal Customers
12937,15,4,1504.27,4,4,4,444,Champions
12938,26,1,114.14,4,1,1,411,Others
12939,64,8,11581.8,3,5,5,355,Loyal Customers
12940,55,2,913.54,3,3,3,333,Others
12942,131,3,683.9,2,4,3,243,At Risk
12944,36,2,604.51,3,3,3,333,Others
12945,288,1,462.95,1,1,3,113,Others
12947,144,6,1603.99,2,4,4,244,At Risk
12948,16,7,2064.95,4,5,4,454,Champions
12949,31,8,4167.22,4,5,5,455,Champions
12950,2,3,1843.0,5,4,4,544,Champions
12951,9,6,1064.07,5,4,3,543,Loyal Customers
12952,6,4,1387.79,5,4,4,544,Champions
12953,10,1,329.85,5,1,2,512,Others
12955,1,11,4757.16,5,5,5,555,Champions
12956,306,1,108.07,1,1,1,111,Hibernating
12957,10,8,4017.54,5,5,5,555,Champions
12962,7,2,266.39,5,3,2,532,Potential Loyalists
12963,8,8,1856.63,5,5,4,554,Champions
12965,89,1,771.91,2,1,3,213,Others
12966,10,1,160.18,5,1,2,512,Others
12967,358,2,1660.9,1,3,4,134,At Risk
12968,112,1,135.95,2,1,1,211,Hibernating
12970,7,4,452.24,5,4,3,543,Loyal Customers
12971,4,86,11189.91,5,5,5,555,Champions
12974,198,1,144.8,1,1,1,111,Hibernating
12976,212,1,738.6,1,1,3,113,Others
12977,156,1,39.24,2,1,1,211,Hibernating
12980,158,9,7374.900000000001,2,5,5,255,At Risk
12981,30,2,372.22,4,3,3,433,Potential Loyalists
12982,243,1,390.54,1,1,3,113,Others
12984,19,1,97.5,4,1,1,411,Others
12985,1,2,1239.38,5,3,4,534,Potential Loyalists
12987,74,2,558.7,3,3,3,333,Others
12988,292,1,535.32,1,1,3,113,Others
12989,3,15,6924.11,5,5,5,555,Champions
12990,31,3,409.5,4,4,3,443,Loyal Customers
12991,23,2,503.76,4,3,3,433,Potential Loyalists
12993,23,4,414.76,4,4,3,443,Loyal Customers
12994,4,3,974.42,5,4,3,543,Loyal Customers
12995,85,1,211.32,3,1,2,312,Others
12997,22,4,1226.89,4,4,4,444,Champions
12999,196,3,455.88,1,4,3,143,At Risk
13000,107,3,534.85,2,4,3,243,At Risk
13001,4,13,9818.82,5,5,5,555,Champions
13002,318,1,120.95,1,1,1,111,Hibernating
13003,106,3,149.05,2,4,1,241,Others
13004,12,18,5655.91,5,5,5,555,Champions
13005,174,2,513.7,1,3,3,133,At Risk
13006,56,1,81.57,3,1,1,311,Others
13008,323,1,229.47,1,1,2,112,Hibernating
13011,372,1,50.55,1,1,1,111,Hibernating
13012,9,8,1661.84,5,5,4,554,Champions
13013,1,13,4810.9400000000005,5,5,5,555,Champions
13014,11,10,3466.28,5,5,5,555,Champions
13015,53,5,3346.28,3,4,5,345,Loyal Customers
13016,73,3,789.89,3,4,3,343,Loyal Customers
13017,7,1,204.0,5,1,2,512,Others
13018,16,28,7277.7,4,5,5,455,Champions
13021,4,9,2616.38,5,5,4,554,Champions
13023,64,2,689.9,3,3,3,333,Others
13026,1,5,975.36,5,4,3,543,Loyal Customers
13027,114,6,6912.0,2,4,5,245,At Risk
13028,23,2,661.3199999999999,4,3,3,433,Potential Loyalists
13029,31,3,1247.5,4,4,4,444,Champions
13030,11,2,799.48,5,3,3,533,Potential Loyalists
13032,52,2,1010.18,3,3,3,333,Others
13033,357,1,190.55,1,1,2,112,Hibernating
13034,55,2,642.77,3,3,3,333,Others
13035,74,2,921.88,3,3,3,333,Others
13037,138,3,881.07,2,4,3,243,At Risk
13038,80,3,908.46,3,4,3,343,Loyal Customers
13040,9,2,676.99,5,3,3,533,Potential Loyalists
13043,273,1,516.42,1,1,3,113,Others
13044,291,1,560.47,1,1,3,113,Others
13045,99,1,305.28000000000003,2,1,2,212,Hibernating
13046,31,2,629.31,4,3,3,433,Potential Loyalists
13047,32,10,3237.54,4,5,5,455,Champions
13048,14,4,1835.91,5,4,4,544,Champions
13049,64,2,656.6800000000001,3,3,3,333,Others
13050,15,17,5836.86,4,5,5,455,Champions
13052,212,1,348.15000000000003,1,1,2,112,Hibernating
13055,78,3,1214.41,3,4,4,344,Loyal Customers
13058,25,3,271.40000000000003,4,4,2,442,Potential Loyalists
13059,250,1,183.4,1,1,2,112,Hibernating
13060,254,1,307.53000000000003,1,1,2,112,Hibernating
13061,72,1,248.61,3,1,2,312,Others
13062,191,1,346.98,1,1,2,112,Hibernating
13064,13,4,1119.49,5,4,4,544,Champions
13065,373,1,205.86,1,1,2,112,Hibernating
13066,24,2,470.8,4,3,3,433,Potential Loyalists
13067,82,1,115.46,3,1,1,311,Others
13068,10,2,344.0,5,3,2,532,Potential Loyalists
13069,1,24,4436.12,5,5,5,555,Champions
13070,192,1,228.8,1,1,2,112,Hibernating
13072,267,1,177.15,1,1,2,112,Hibernating
13075,130,1,919.61,2,1,3,213,Others
13077,1,4,729.27,5,4,3,543,Loyal Customers
13078,3,26,12627.94,5,5,5,555,Champions
13079,4,5,220.1,5,4,2,542,Potential Loyalists
13080,179,1,58.08,1,1,1,111,Hibernating
13081,12,11,28337.38,5,5,5,555,Champions
13082,126,9,3613.63,2,5,5,255,At Risk
13083,4,2,303.75,5,3,2,532,Potential Loyalists
13085,158,2,416.08,2,3,3,233,At Risk
13089,3,97,58825.83,5,5,5,555,Champions
