CustomerID,Recency,Frequency,Monetary
12648,155,1,300.05
12649,107,3,549.71
12650,3,1,242.44
12651,335,1,114.0
12652,331,1,788.53
12653,149,2,2209.85
12654,11,5,529.98
12656,17,5,3550.72
12657,11,4,1008.06
12658,19,1,632.05
12659,30,1,73.68
12660,11,1,227.1
12662,1,11,3511.08
12664,8,9,4391.88
12665,325,1,43.75
12667,58,1,460.13
12668,12,4,3113.18
12669,151,2,1427.73
12670,10,5,2734.15
12672,330,1,225.9
12673,5,2,574.52
12674,39,4,1796.26
12676,25,6,1091.39
12678,42,9,16291.26
12679,59,4,896.67
12680,1,4,790.81
12681,15,22,12309.59
12682,4,31,11019.82
12683,4,14,7357.09
12684,8,6,2073.63
12685,28,6,2575.08
12686,372,1,71.14
12688,114,1,4873.81
12689,26,2,1139.61
12690,206,1,335.01
12691,28,5,927.8
12693,127,4,686.96
12694,70,2,761.67
12695,7,4,582.1
12697,29,3,739.02
12700,8,4,4525.99
12701,80,2,725.71
12702,20,1,201.0
12703,71,1,256.7
12704,7,8,1740.84
12705,15,8,6328.24
12707,292,1,603.42
12708,30,10,2346.32
12709,15,15,8959.75
12710,97,3,1004.57
12712,29,13,3791.63
12713,1,1,794.55
12714,9,5,4294.86
12715,106,1,263.36
12716,4,2,963.49
12717,151,2,830.98
12718,71,1,202.25
12719,5,2,536.1
12720,3,25,5065.28
12721,32,6,2358.98
12722,85,4,886.33
12723,4,5,707.07
12724,5,4,923.41
12725,371,1,371.8
12726,28,7,2411.1
12727,11,7,3425.7
12728,71,4,728.33
12729,114,1,417.01
12731,24,12,18660.41
12732,180,1,218.26
12733,234,1,383.95
12734,353,1,110.4
12735,315,2,689.57
12736,333,1,144.0
12738,372,1,137.35
12739,99,1,975.54
12740,64,1,427.6
12743,134,2,540.13
12744,56,4,9120.39
12747,2,11,4196.01
12748,1,206,29819.99
12749,4,5,3818.2
12750,129,1,275.88
12752,81,1,4366.78
12753,23,6,21024.01
12754,236,3,3010.74
12755,281,2,2220.75
12756,87,1,112.08
12757,16,9,4161.75
12758,117,2,2791.59
12759,52,3,1411.44
12762,8,2,1702.52
12763,138,2,494.08
12764,317,1,1693.88
12766,4,7,6457.63
12769,239,1,1143.6
12770,211,1,1351.45
12772,60,1,752.47
12775,17,5,1246.24
12778,20,6,693.23
12779,38,8,3868.7
12781,64,2,671.72
12782,5,5,1881.32
12783,2,4,1295.87
12784,15,1,476.82
12785,364,1,249.71
12787,10,3,418.66
12789,65,1,76.85
12790,192,1,294.92
12791,374,1,177.6
12792,257,1,344.54
12793,335,2,461.48
12794,53,2,860.41
12795,19,1,318.48
12797,366,1,166.18
12798,10,3,6977.04
12802,187,1,382.58
12808,37,3,455.65
12809,178,1,400.36
12811,262,2,458.85
12812,45,1,229.64
12814,102,1,85.92
12815,148,2,863.46
12816,96,2,452.2
12817,281,1,126.04
12818,262,1,1157.88
12820,3,4,942.34
12821,214,1,92.72
12822,71,2,918.98
12823,75,5,1759.5
12824,60,1,397.12
12826,3,7,1468.12
12827,6,3,430.15
12828,3,6,1018.71
12829,337,2,253.05
12830,38,6,6814.64
12831,262,1,215.05
12832,32,2,383.03
12833,145,1,417.38
12834,283,1,312.38
12836,59,4,2610.36
12837,173,1,134.1
12838,34,2,671.95
12839,3,14,5588.12
12840,144,4,2714.27
12841,5,25,3845.63
12842,70,2,1118.99
12843,66,8,1680.76
12844,29,2,325.96
12845,267,4,354.09
12847,22,1,843.64
12849,31,2,992.65
12851,97,1,131.81
12852,295,1,299.75
12853,135,6,1881.7
12854,79,3,1280.9
12855,373,1,38.1
12856,8,6,2153.53
12857,211,2,1106.4
12863,52,1,504.2
12864,138,1,147.12
12865,26,2,1548.07
12866,283,1,499.12
12867,26,7,3962.99
12868,186,6,1607.06
12871,84,2,380.64
12872,327,2,599.97
12873,282,1,374.0
12875,143,2,343.23
12876,58,2,2053.02
12877,4,12,1535.77
12878,236,2,841.64
12879,45,3,552.57
12881,276,1,298.0
12882,9,2,1463.04
12883,25,4,703.47
12884,88,1,309.05
12885,63,3,1158.27
12886,68,2,1351.09
12888,214,2,313.77
12890,24,1,376.72
12891,186,3,331.0
12893,31,1,176.55
12895,42,2,347.3
12897,205,2,216.5
12901,9,28,16316.14
12902,265,1,138.68
12904,18,2,496.06
12906,12,5,2919.81
12908,176,2,360.0
12909,40,5,2128.83
12910,23,8,3075.04
12912,3,5,1662.3
12913,5,5,2483.63
12915,149,2,363.65
12916,139,4,2921.15
12917,128,1,594.0
12919,8,6,1301.44
12920,17,1,162.78
12921,9,37,16389.74
12922,161,1,405.38
12923,64,1,171.57
12924,88,4,922.0
12925,5,2,694.05
12928,35,5,2062.7
12929,312,1,105.1
12930,78,2,409.9
12931,22,15,33544.81
12933,24,3,606.28
12935,2,7,2156.45
12936,17,4,1012.9
12937,15,4,1504.27
12938,26,1,114.14
12939,64,8,11581.8
12940,55,2,862.44
12942,131,3,675.6
12944,36,2,604.51
12945,288,1,462.95
12947,144,6,1407.29
12948,16,7,2053.7
12949,31,8,4143.02
12950,2,3,1843.0
12951,9,6,1042.07
12952,6,4,1382.84
12953,10,1,329.85
12955,1,11,4734.26
12956,306,1,108.07
12957,10,8,3979.04
12962,7,2,266.39
12963,8,8,1856.63
12965,89,1,769.81
12966,10,1,160.18
12967,358,2,1194.75
12968,112,1,135.95
12970,7,4,405.47
12971,4,86,10933.76
12974,198,1,144.8
12976,212,1,738.6
12977,156,1,39.24
12980,158,9,7092.06
12981,30,2,372.22
12982,243,1,377.2
12984,19,1,97.5
12985,1,2,1215.62
12987,74,2,545.0
12988,292,1,505.82
12989,3,15,6854.51
12990,31,3,409.5
12991,23,2,503.76
12993,23,4,414.76
12994,4,3,902.22
12995,85,1,200.72
12997,22,4,1197.94
12999,196,3,455.88
13000,107,3,534.85
13001,4,13,9765.07
13002,318,1,120.95
13003,106,3,149.05
13004,12,18,5613.43
13005,174,2,468.95
13006,56,1,81.57
13008,323,1,178.47
13011,372,1,50.55
13012,9,8,1301.72
13013,1,13,4786.99
13014,11,10,3365.43
13015,53,5,3339.64
13016,73,3,789.89
13017,7,1,204.0
13018,16,28,7272.75
13021,4,9,2584.4
13023,64,2,599.9
13026,1,5,943.77
13027,114,6,6912.0
13028,23,2,659.68
13029,31,3,1247.5
13030,11,2,752.44
13032,52,2,996.52
13033,357,1,190.55
13034,55,2,642.77
13035,74,2,886.63
13037,138,3,881.07
13038,80,3,908.46
13040,9,2,676.99
13043,273,1,471.57
13044,291,1,560.47
13045,99,1,305.28
13046,31,2,629.31
13047,57,9,3089.1
13048,14,4,1789.41
13049,64,2,656.68
13050,15,17,5680.86
13052,212,1,348.15
13055,78,3,1201.96
13058,25,3,271.4
13059,250,1,183.4
13060,254,1,307.53
13061,72,1,248.61
13062,191,1,346.98
13064,13,4,1105.59
13065,373,1,205.86
13066,24,2,430.9
13067,82,1,115.46
13068,10,2,344.0
13069,1,24,3713.14
13070,192,1,228.8
13072,267,1,177.15
13075,130,1,919.61
13077,1,4,728.02
13078,3,26,12432.28
13079,4,5,220.1
13080,179,1,58.08
13081,12,11,27972.08
13082,126,9,3595.48
13083,4,2,303.75
13085,158,2,272.38
13089,3,97,57322.13
13090,9,13,8674.39
13091,28,1,319.82
13092,71,5,459.83
13093,276,8,7741.47
13094,21,12,1708.86
13095,71,1,74.4
13097,33,10,5901.07
13098,1,28,28658.88
13099,99,1,207.36
13101,234,1,101.19
13102,1,24,6336.29
13103,40,1,243.94
13104,3,6,1098.48
13106,133,1,59.5
13107,44,4,1524.07
13108,373,1,350.06
13109,60,2,766.84
13110,31,7,1452.87
13113,1,24,10523.65
13115,12,4,2205.63
13116,138,1,485.19
13117,22,8,984.91
13118,20,5,1125.0
13120,239,1,30.6
13121,269,1,254.73
13122,94,2,922.39
13124,90,3,3756.33
13126,5,8,2056.29
13127,78,1,259.17
13130,94,1,64.0
13131,23,3,1039.3
13132,262,1,77.3
13133,274,2,109.8
13134,86,4,1740.63
13135,197,1,3096.0
13136,56,5,2545.38
13137,11,8,3603.29
13138,22,6,962.39
13139,16,7,5055.79
13140,108,3,422.47
13141,85,5,2385.8
13142,19,1,307.09
13144,333,1,110.95
13145,40,4,614.77
13146,26,1,228.91
13147,10,4,712.8
13148,29,12,3324.62
13149,14,4,1676.06
13151,296,1,1250.37
13153,6,1,486.22
13155,33,4,971.76
13157,49,4,1721.57
13158,95,4,1201.06
13159,9,4,1371.25
13160,22,1,91.8
13161,313,1,112.75
13162,122,4,1644.99
13165,46,2,1021.48
13166,283,1,414.7
13167,19,4,779.33
13168,36,4,1290.54
13169,64,2,712.88
13170,27,1,108.81
13171,22,3,426.81
13173,4,2,353.65
13174,16,3,2738.82
13176,46,1,481.49
13177,65,1,282.45
13178,26,11,5725.47
13182,45,1,121.18
13183,8,9,3957.78
13184,15,10,1615.45
13185,268,1,71.4
13186,40,3,1539.69
13187,337,1,236.02
13188,11,1,114.6
13189,19,2,260.68
13192,95,2,911.94
13193,61,1,112.08
13194,136,1,60.7
13196,11,4,1797.78
13198,10,6,3384.09
13199,4,37,9788.96
13200,19,4,870.09
13203,10,4,869.46
13207,15,2,250.26
13208,59,5,1193.17
13209,30,8,5820.16
13210,94,1,353.48
13211,10,3,1095.42
13212,20,3,779.33
13213,57,5,1518.43
13216,268,1,333.74
13217,122,3,133.62
13218,127,1,62.64
13220,78,4,819.29
13221,240,2,844.86
13223,200,2,163.2
13224,60,2,2147.85
13225,3,7,6083.04
13226,273,1,108.21
13227,202,1,257.7
13228,81,1,358.0
13229,226,1,160.95
13230,4,14,2712.07
13232,13,7,1327.75
13233,74,2,605.12
13235,212,1,1031.07
13236,25,2,727.27
13238,17,4,680.83
13239,262,1,329.56
13240,96,4,648.7
13242,112,3,270.4
13243,203,1,585.12
13244,93,1,121.74
13245,51,1,430.5
13246,18,6,1896.32
13247,18,4,501.12
13248,125,2,465.68
13249,92,3,711.41
13253,157,2,1030.4
13255,9,2,390.66
13258,12,3,672.83
13259,62,1,283.18
13260,61,1,557.62
13261,269,2,944.1
13262,263,1,200.29
13263,1,34,7411.71
13265,53,5,2092.66
13266,11,12,3717.67
13267,3,19,4404.44
13268,18,10,3105.66
13269,1,15,5312.97
13270,366,1,590.0
13271,37,1,172.37
13272,31,2,276.56
13273,113,1,138.98
13276,64,2,590.93
13277,16,4,258.4
13278,41,1,542.73
13279,78,1,126.3
13280,122,3,798.46
13282,18,3,1047.84
13283,60,2,93.66
13284,331,1,196.15
13285,23,4,2709.12
13291,156,1,361.11
13292,39,2,578.94
13294,190,2,873.74
13295,360,1,197.95
13296,137,1,87.4
13297,8,4,2089.85
13298,1,1,360.0
13299,268,1,142.5
13300,169,1,365.29
13301,104,4,600.19
13302,155,1,63.75
13304,351,1,300.42
13305,4,10,2000.86
13307,120,1,15.0
13308,23,3,1367.61
13309,7,5,1456.79
13310,28,3,1083.63
13311,4,2,598.57
13313,22,5,1555.32
13314,2,3,593.51
13316,37,4,5732.93
13317,66,6,2140.07
13318,1,3,640.76
13319,5,26,10664.34
13320,78,4,1475.2
13321,72,2,567.36
13322,17,1,199.48
13323,3,5,787.85
13324,36,10,7072.8
13325,82,1,675.3
13327,39,8,3617.57
13328,316,1,1308.48
13329,32,2,740.4
13330,93,3,1140.93
13332,14,1,350.9
13334,82,3,3502.32
13336,77,1,795.12
13338,158,1,381.82
13339,201,1,860.12
13340,45,7,10736.48
13341,261,1,775.85
13343,178,1,253.93
13344,68,3,2511.69
13345,288,1,327.6
13347,70,1,291.36
13348,64,1,233.76
13349,11,1,197.32
13350,16,2,810.72
13351,66,1,323.94
13352,60,1,339.28
13354,71,1,743.53
13355,122,1,674.7
13356,80,1,768.24
13357,257,1,609.4
13358,269,1,389.03
13359,64,1,381.26
13362,9,4,3085.49
13363,18,2,892.5
13365,34,2,2191.22
13366,50,1,56.16
13368,257,2,573.4
13369,366,1,213.75
13370,372,1,721.32
13372,90,1,328.64
13373,61,3,3312.25
13375,89,1,772.9
13376,99,3,869.76
13379,26,3,572.56
13381,32,6,3626.81
13382,281,1,222.99
13384,31,7,4122.28
13385,330,1,534.57
13388,131,2,627.15
13389,11,3,797.96
13390,75,1,544.08
13391,204,1,59.8
13394,2,8,2318.3
13395,185,1,307.72
13396,29,2,1325.29
13397,73,5,1539.18
13398,192,1,457.34
13402,127,2,621.23
13403,18,1,75.0
13404,1,2,252.49
13405,204,2,557.45
13408,2,62,27888.38
13410,24,5,988.91
13411,107,1,213.55
13414,134,3,1390.5
13416,44,2,712.5
13417,5,2,640.83
13418,12,18,5845.44
13419,64,1,221.06
13420,150,2,140.35
13421,40,2,1821.11
13422,64,1,2601.55
13425,108,3,1624.21
13426,1,10,3558.32
13427,19,3,582.6
13428,10,1,201.78
13429,11,4,1006.8
13430,19,2,652.07
13431,67,2,1269.1
13434,74,2,534.24
13435,5,7,3794.49
13436,2,1,196.89
13437,14,7,3408.06
13439,255,1,283.71
13441,92,1,296.64
13447,23,3,1104.23
13448,17,6,3460.99
13449,24,1,291.88
13450,27,6,2043.72
13451,26,5,2838.56
13452,259,2,590.0
13453,166,2,356.98
13455,25,2,1007.35
13456,18,6,1737.82
13458,7,14,9537.92
13460,29,2,183.44
13461,39,3,1445.0
13462,253,1,143.25
13464,58,1,674.68
13466,184,1,297.95
13467,11,2,1071.91
13468,2,37,5656.75
13470,99,2,165.0
13471,1,4,2501.84
13473,61,2,417.54
13474,236,1,226.84
13475,191,4,1431.78
13476,179,2,1092.77
13477,38,6,1441.53
13479,201,2,291.0
13481,46,5,1776.81
13482,232,1,184.64
13483,66,1,140.34
13484,241,1,313.8
13485,233,1,454.24
13486,78,3,1122.41
13487,58,3,575.4
13488,17,13,8910.61
13489,105,4,449.52
13491,52,10,1215.82
13492,136,3,1269.84
13493,275,2,498.63
13494,312,1,316.26
13495,8,5,1990.12
13496,11,2,617.93
13497,283,2,321.05
13499,18,5,1146.96
13500,23,3,1136.77
13501,288,1,1310.47
13502,17,3,292.0
13503,71,1,216.85
13504,64,1,295.93
13505,73,4,3522.88
13506,316,2,452.82
13507,3,4,2479.16
13508,244,1,110.97
13509,9,6,964.72
13510,1,4,1785.16
13512,261,1,251.21
13513,127,1,205.1
13514,74,1,152.2
13515,73,4,891.12
13516,21,3,1389.41
13517,60,3,2109.07
13518,86,1,627.16
13519,78,1,110.8
13520,59,6,2967.75
13521,1,3,1070.47
13522,30,1,125.8
13523,33,5,3755.38
13524,41,5,680.18
13525,15,2,628.78
13527,34,7,2218.61
13529,79,2,307.76
13531,205,2,483.8
13532,34,1,210.31
13533,183,3,269.09
13534,2,25,5613.08
13536,1,7,3444.39
13538,43,7,1280.85
13539,86,3,605.84
13544,40,2,276.06
13546,12,3,621.09
13548,96,2,678.16
13549,26,7,916.12
13551,319,1,91.8
13552,66,12,3539.53
13555,74,4,4098.88
13557,28,2,584.06
13558,6,4,594.52
13560,7,1,171.42
13561,216,1,141.86
13562,82,3,1799.33
13563,84,2,777.53
13564,354,2,1174.03
13565,19,2,240.22
13566,41,2,856.84
13568,173,1,187.05
13569,17,2,337.12
13570,243,1,239.49
13571,13,12,2088.94
13572,206,1,1384.25
13573,50,2,290.25
13575,23,5,732.07
13576,10,18,6703.3
13577,25,4,1658.3
13579,15,2,467.04
13581,309,1,118.0
13583,156,1,781.03
13584,307,1,142.4
13587,64,1,347.0
13588,16,9,2449.53
13589,15,2,379.65
13590,11,6,1976.12
13591,65,3,1117.13
13592,36,4,247.96
13593,108,5,1965.08
13594,53,1,396.97
13596,6,2,664.11
13598,47,1,147.29
13599,1,21,5028.57
13600,312,1,219.52
13601,45,2,693.32
13602,65,1,428.89
13603,26,1,164.34
13606,29,3,276.75
13607,40,1,675.51
13610,12,7,1065.88
13611,89,3,1140.8
13614,24,4,1585.46
13615,319,1,399.99
13617,40,3,544.18
13618,174,1,177.34
13621,117,1,213.85
13623,31,5,696.2
13626,253,1,257.23
13627,59,5,1624.02
13629,23,11,7792.36
13630,5,7,1995.68
13631,100,11,3021.77
13632,25,5,2114.68
13634,33,5,1547.36
13635,68,1,1071.03
13636,37,5,941.62
13637,52,3,803.05
13638,16,1,122.64
13639,74,1,1033.34
13642,216,1,312.28
13643,31,3,519.44
13644,16,4,2597.52
13645,120,1,252.1
13647,10,4,1640.22
13649,257,2,346.6
13650,17,6,1809.34
13651,40,1,79.2
13652,46,3,1095.08
13654,43,6,2707.33
13655,114,2,932.97
13656,165,2,379.65
13657,11,2,382.14
13658,10,5,2421.47
13659,206,2,1540.65
13662,86,3,862.58
13663,179,1,189.47
13666,60,3,84.65
13667,149,1,299.05
13668,3,21,6162.31
13669,51,2,218.55
13670,75,1,349.7
13673,19,2,387.44
13675,151,2,486.82
13678,152,1,232.6
13680,1,4,2199.01
13681,18,4,827.83
13682,187,1,59.5
13684,286,1,62.13
13685,3,7,3119.44
13686,183,1,72.0
13689,63,1,910.0
13690,59,1,172.25
13692,25,3,1473.37
13694,4,50,62961.54
13695,31,15,2504.13
13697,39,1,151.3
13699,155,1,308.58
13700,26,10,2248.63
13703,318,1,99.5
13704,5,9,2295.31
13705,8,3,711.86
13706,303,1,330.79
13707,267,2,806.41
13708,271,1,283.33
13709,4,13,6228.71
13710,32,1,180.48
13711,219,2,252.06
13712,247,1,228.84
13715,281,5,1051.99
13716,269,1,138.28
13717,32,6,1432.26
13718,246,2,306.55
13719,15,5,1041.68
13720,117,4,799.9
13721,36,1,524.14
13722,132,3,2369.16
13723,217,1,199.85
13725,50,8,1809.81
13726,39,2,1079.66
13727,29,2,333.48
13728,37,6,1016.14
13730,136,2,752.6
13731,219,2,610.59
13732,28,1,491.86
13735,25,4,2764.48
13736,5,2,721.9
13737,200,1,339.6
13739,18,1,216.9
13740,241,1,350.75
13741,72,3,666.33
13742,17,12,3079.27
13743,3,7,1340.15
13744,95,2,1080.52
13745,162,1,291.54
13747,374,1,79.6
13748,96,5,948.25
13750,54,5,1647.26
13751,288,1,296.25
13752,124,6,1175.38
13753,288,1,741.26
13754,152,2,282.6
13755,4,9,2101.39
13756,2,14,5145.12
13758,12,7,3190.55
13759,33,2,659.41
13760,54,2,286.79
13761,50,2,1070.65
13763,63,1,1689.46
13764,71,3,1516.42
13767,2,37,16945.71
13769,2,10,2771.87
13771,64,4,2631.7
13772,34,3,1122.63
13774,82,1,345.0
13777,1,33,25758.1
13778,103,1,178.7
13780,7,2,360.01
13781,251,1,127.84
13782,13,6,908.86
13784,10,11,2462.79
13786,367,1,230.4
13787,76,2,309.04
13790,4,1,348.8
13791,128,2,1047.68
13792,66,2,195.55
13798,1,57,36352.87
13799,117,2,688.86
13800,310,1,558.32
13801,67,1,324.8
13802,139,3,3906.27
13803,255,1,277.07
13804,31,7,2588.39
13805,52,2,924.6
13806,64,1,256.38
13807,367,1,112.6
13808,6,5,1747.66
13809,305,1,155.05
13810,29,2,827.51
13811,184,2,519.75
13812,42,3,485.0
13813,40,4,1155.41
13814,92,2,1562.12
13815,22,4,3654.91
13816,24,2,483.04
13817,29,2,328.98
13819,302,3,1140.35
13821,145,2,385.64
13822,6,2,632.0
13823,19,2,957.66
13824,33,5,1698.94
13826,176,1,179.55
13827,58,3,409.8
13828,22,1,209.49
13831,16,6,2198.45
13832,19,1,40.95
13833,159,1,383.85
13835,25,4,834.57
13837,212,2,266.59
13838,6,4,674.82
13841,253,1,85.0
13842,59,9,3385.62
13844,11,1,361.62
13845,65,1,312.98
13846,25,3,847.61
13848,92,3,1255.0
13849,52,2,1537.95
13850,129,1,1586.81
13851,96,3,2651.46
13853,57,1,1056.94
13854,9,25,8025.02
13856,169,3,363.4
13858,57,1,216.17
13859,326,1,201.16
13860,1,5,1240.0
13862,18,8,2187.31
13863,248,1,299.56
13865,58,4,501.56
13866,74,1,145.67
13867,31,3,1005.09
13868,7,2,3192.54
13869,123,4,3083.65
13870,2,8,2751.25
13871,23,13,6389.8
13873,120,3,381.7
13874,358,1,540.45
13875,54,5,1786.79
13876,64,1,122.7
13877,86,1,117.24
13878,55,1,1271.57
13880,21,13,3219.77
13881,4,20,16989.52
13882,3,5,1131.28
13883,11,5,2542.25
13884,7,5,781.3
13885,189,2,506.8
13886,71,1,243.56
13887,204,1,349.55
13888,120,2,595.67
13889,93,1,416.9
13890,1,10,1860.86
13892,27,4,632.97
13893,298,1,821.1
13894,24,3,535.97
13895,28,4,2588.12
13897,50,1,311.16
13898,326,1,155.93
13899,16,2,388.52
13900,183,3,740.95
13901,72,5,2867.2
13904,37,2,332.64
13908,80,4,2297.05
13911,57,9,2580.91
13914,12,2,613.95
13917,50,2,272.04
13918,50,2,1212.84
13919,59,2,314.16
13922,352,1,172.25
13923,54,1,351.13
13924,2,6,1682.08
13925,93,4,616.65
13926,23,1,223.85
13927,75,1,348.99
13928,11,4,464.57
13929,169,2,802.85
13930,58,2,337.34
13931,96,2,1230.93
13932,295,1,307.4
13933,109,2,608.79
13934,264,1,922.1
13936,180,1,361.28
13937,169,1,158.85
13938,35,1,71.66
13939,23,3,556.75
13940,17,4,839.14
13941,22,5,4912.41
13946,79,3,561.57
13947,65,1,90.6
13948,361,1,102.0
13949,3,6,2427.32
13950,11,4,728.56
13951,176,3,674.45
13952,218,2,3246.09
13953,7,7,3515.68
13954,2,2,378.59
13955,154,2,322.96
13956,5,5,1019.27
13959,79,3,594.04
13960,21,2,230.22
13962,22,2,169.55
13963,308,4,664.54
13967,146,1,80.7
13969,7,18,8956.92
13971,19,8,2702.22
13972,71,2,190.25
13973,287,1,264.7
13974,49,1,413.59
13975,31,6,2438.19
13976,207,1,357.98
13978,15,2,196.79
13979,73,1,869.87
13980,60,1,200.14
13982,39,4,1861.11
13983,30,12,2590.46
13984,27,5,488.03
13985,4,15,7024.53
13986,17,1,320.46
13988,20,6,4098.8
13989,66,2,1266.08
13990,213,1,311.3
13991,12,6,846.54
13992,30,1,76.8
13993,43,9,3409.66
13994,4,6,2274.14
13995,15,5,1383.49
13999,10,12,3865.26
14000,211,1,633.71
14001,46,3,2043.08
14002,134,2,529.73
14004,43,7,4582.64
14005,10,5,2874.72
14006,116,3,962.19
14009,198,2,685.93
14012,278,1,328.8
14013,110,3,473.02
14014,77,1,505.18
14015,53,1,917.34
14016,162,4,4278.46
